"","State","Year","PacksPerCapita","treated"
"132","Minnesota",1973,106.8000031,0
"133","Mississippi",1973,115,0
"134","Missouri",1973,132.1000061,0
"135","Montana",1973,119.9000015,0
"136","Nebraska",1973,106.5999985,0
"137","Nevada",1973,201.5,0
"138","New Hampshire",1973,279,0
"139","New Mexico",1973,98.90000153,0
"140","North Carolina",1973,226.5,0
"141","North Dakota",1973,108.6999969,0
"142","Ohio",1973,120.5,0
"143","Oklahoma",1973,124.0999985,0
"144","Pennsylvania",1973,110.6999969,0
"145","Rhode Island",1973,142,0
"146","South Carolina",1973,125.5,0
"147","South Dakota",1973,103.5,0
"148","Tennessee",1973,109.6999969,0
"149","Texas",1973,110.4000015,0
"150","Utah",1973,72.69999695,0
"151","Vermont",1973,146.8000031,0
"152","Virginia",1973,143.1000061,0
"153","West Virginia",1973,116.5999985,0
"154","Wisconsin",1973,109.5,0
"155","Wyoming",1973,141.1999969,0
"156","California",1973,124.4000015,0
"157","Alabama",1974,108.1999969,0
"158","Arkansas",1974,109.6999969,0
"159","Colorado",1974,132.8000031,0
"160","Connecticut",1974,112.4000015,0
"161","Delaware",1974,151.3000031,0
"162","Georgia",1974,123.6999969,0
"163","Idaho",1974,125.5999985,0
"164","Illinois",1974,131.8999939,0
"165","Indiana",1974,159.6000061,0
"166","Iowa",1974,116.0999985,0
"167","Kansas",1974,118.5999985,0
"168","Kentucky",1974,212.3999939,0
"169","Louisiana",1974,129.8999939,0
"170","Maine",1974,142.1000061,0
"171","Minnesota",1974,110.5999985,0
"172","Mississippi",1974,117.0999985,0
"173","Missouri",1974,135.3999939,0
"174","Montana",1974,121.9000015,0
"175","Nebraska",1974,110.5,0
"176","Nevada",1974,204.6999969,0
"177","New Hampshire",1974,269.7999878,0
"178","New Mexico",1974,100.3000031,0
"179","North Carolina",1974,227.3000031,0
"180","North Dakota",1974,110.5,0
"181","Ohio",1974,122.0999985,0
"182","Oklahoma",1974,130.5,0
"183","Pennsylvania",1974,114.1999969,0
"184","Rhode Island",1974,146.1000061,0
"185","South Carolina",1974,129.6999969,0
"186","South Dakota",1974,108.4000015,0
"187","Tennessee",1974,114.8000031,0
"188","Texas",1974,114.6999969,0
"189","Utah",1974,75.59999847,0
"190","Vermont",1974,151.8000031,0
"191","Virginia",1974,149.6000061,0
"192","West Virginia",1974,119.9000015,0
"193","Wisconsin",1974,111.8000031,0
"194","Wyoming",1974,145.8000031,0
"195","California",1974,126.6999969,0
"196","Alabama",1975,111.6999969,0
"197","Arkansas",1975,114.8000031,0
"198","Colorado",1975,131,0
"199","Connecticut",1975,110.1999969,0
"200","Delaware",1975,147.6000061,0
"201","Georgia",1975,122.9000015,0
"202","Idaho",1975,123.3000031,0
"203","Illinois",1975,131.8000031,0
"204","Indiana",1975,162.3999939,0
"205","Iowa",1975,120.5,0
"206","Kansas",1975,123.4000015,0
"207","Kentucky",1975,223,0
"208","Louisiana",1975,133.6000061,0
"209","Maine",1975,140.6999969,0
"210","Minnesota",1975,111.5,0
"211","Mississippi",1975,116.8000031,0
"212","Missouri",1975,135.6000061,0
"213","Montana",1975,123.6999969,0
"214","Nebraska",1975,114.0999985,0
"215","Nevada",1975,205.1999969,0
"216","New Hampshire",1975,269.1000061,0
"217","New Mexico",1975,103.0999985,0
"218","North Carolina",1975,226,0
"219","North Dakota",1975,117.9000015,0
"220","Ohio",1975,122.5,0
"221","Oklahoma",1975,132.8999939,0
"222","Pennsylvania",1975,114.5999985,0
"223","Rhode Island",1975,154.6999969,0
"224","South Carolina",1975,130.5,0
"225","South Dakota",1975,113.5,0
"226","Tennessee",1975,117.4000015,0
"227","Texas",1975,116,0
"228","Utah",1975,75.80000305,0
"229","Vermont",1975,155.5,0
"230","Virginia",1975,152.6999969,0
"231","West Virginia",1975,123.1999969,0
"232","Wisconsin",1975,113.5,0
"233","Wyoming",1975,160.6999969,0
"234","California",1975,127.0999985,0
"235","Alabama",1976,116.1999969,0
"236","Arkansas",1976,119.0999985,0
"237","Colorado",1976,134.1999969,0
"238","Connecticut",1976,113.4000015,0
"239","Delaware",1976,153,0
"240","Georgia",1976,125.9000015,0
"241","Idaho",1976,125.0999985,0
"242","Illinois",1976,134.3999939,0
"243","Indiana",1976,166.6000061,0
"244","Iowa",1976,124.4000015,0
"245","Kansas",1976,127.6999969,0
"246","Kentucky",1976,230.8999939,0
"247","Louisiana",1976,139.6000061,0
"248","Maine",1976,144.8999939,0
"249","Minnesota",1976,116.6999969,0
"250","Mississippi",1976,120.9000015,0
"251","Missouri",1976,139.5,0
"252","Montana",1976,124.9000015,0
"253","Nebraska",1976,118.0999985,0
"254","Nevada",1976,201.3999939,0
"255","New Hampshire",1976,290.5,0
"256","New Mexico",1976,102.4000015,0
"257","North Carolina",1976,230.1999969,0
"258","North Dakota",1976,125.4000015,0
"259","Ohio",1976,124.5999985,0
"260","Oklahoma",1976,138.6000061,0
"261","Pennsylvania",1976,118.8000031,0
"262","Rhode Island",1976,150.1999969,0
"263","South Carolina",1976,136.8000031,0
"264","South Dakota",1976,116.6999969,0
"265","Tennessee",1976,121.6999969,0
"266","Texas",1976,121.4000015,0
"267","Utah",1976,77.90000153,0
"268","Vermont",1976,171.1000061,0
"269","Virginia",1976,158.1000061,0
"270","West Virginia",1976,129.6999969,0
"271","Wisconsin",1976,115.4000015,0
"272","Wyoming",1976,161.5,0
"273","California",1976,128,0
"274","Alabama",1977,117.0999985,0
"275","Arkansas",1977,122.5999985,0
"276","Colorado",1977,132,0
"277","Connecticut",1977,117.3000031,0
"278","Delaware",1977,153.3000031,0
"279","Georgia",1977,127.9000015,0
"280","Idaho",1977,125,0
"281","Illinois",1977,134,0
"282","Indiana",1977,173,0
"283","Iowa",1977,125.5,0
"284","Kansas",1977,127.9000015,0
"285","Kentucky",1977,229.3999939,0
"286","Louisiana",1977,140,0
"287","Maine",1977,145.6000061,0
"288","Minnesota",1977,117.1999969,0
"289","Mississippi",1977,122.0999985,0
"290","Missouri",1977,140.8000031,0
"291","Montana",1977,127,0
"292","Nebraska",1977,117.6999969,0
"293","Nevada",1977,190.8000031,0
"294","New Hampshire",1977,278.7999878,0
"295","New Mexico",1977,102.4000015,0
"296","North Carolina",1977,217,0
"297","North Dakota",1977,122.1999969,0
"298","Ohio",1977,127.3000031,0
"299","Oklahoma",1977,140.3999939,0
"300","Pennsylvania",1977,120.0999985,0
"301","Rhode Island",1977,148.8000031,0
"302","South Carolina",1977,137.1999969,0
"303","South Dakota",1977,115.5999985,0
"304","Tennessee",1977,124.5999985,0
"305","Texas",1977,124.1999969,0
"306","Utah",1977,78,0
"307","Vermont",1977,169.3999939,0
"308","Virginia",1977,157.6999969,0
"309","West Virginia",1977,133.8999939,0
"310","Wisconsin",1977,117.1999969,0
"311","Wyoming",1977,160.3999939,0
"312","California",1977,126.4000015,0
"313","Alabama",1978,123,0
"314","Arkansas",1978,127.3000031,0
"315","Colorado",1978,129.1999969,0
"316","Connecticut",1978,117.5,0
"317","Delaware",1978,155.5,0
"318","Georgia",1978,130.6000061,0
"319","Idaho",1978,122.8000031,0
"320","Illinois",1978,136.6999969,0
"321","Indiana",1978,150.8999939,0
"322","Iowa",1978,127.0999985,0
"323","Kansas",1978,127.0999985,0
"324","Kentucky",1978,224.6999969,0
"325","Louisiana",1978,142.6999969,0
"326","Maine",1978,143.8999939,0
"327","Minnesota",1978,118.9000015,0
"328","Mississippi",1978,124.9000015,0
"329","Missouri",1978,141.8000031,0
"330","Montana",1978,127.1999969,0
"331","Nebraska",1978,117.4000015,0
"332","Nevada",1978,187,0
"333","New Hampshire",1978,269.6000061,0
"334","New Mexico",1978,103.0999985,0
"335","North Carolina",1978,205.5,0
"336","North Dakota",1978,121.9000015,0
"337","Ohio",1978,131.3000031,0
"338","Oklahoma",1978,143.6000061,0
"339","Pennsylvania",1978,122.3000031,0
"340","Rhode Island",1978,146.8000031,0
"341","South Carolina",1978,140.3999939,0
"342","South Dakota",1978,116.9000015,0
"343","Tennessee",1978,127.3000031,0
"344","Texas",1978,126.5999985,0
"345","Utah",1978,79.59999847,0
"346","Vermont",1978,162.3999939,0
"347","Virginia",1978,155.8999939,0
"348","West Virginia",1978,131.6000061,0
"349","Wisconsin",1978,116.6999969,0
"350","Wyoming",1978,160.3000031,0
"351","California",1978,126.0999985,0
"352","Alabama",1979,121.4000015,0
"353","Arkansas",1979,126.5,0
"354","Colorado",1979,131.5,0
"355","Connecticut",1979,117.4000015,0
"356","Delaware",1979,150.1999969,0
"357","Georgia",1979,131,0
"358","Idaho",1979,117.5,0
"359","Illinois",1979,135.3000031,0
"360","Indiana",1979,148.8999939,0
"361","Iowa",1979,124.1999969,0
"362","Kansas",1979,126.4000015,0
"363","Kentucky",1979,214.8999939,0
"364","Louisiana",1979,140.1000061,0
"365","Maine",1979,138.5,0
"366","Minnesota",1979,118.3000031,0
"367","Mississippi",1979,123.9000015,0
"368","Missouri",1979,140.1999969,0
"369","Montana",1979,120.3000031,0
"370","Nebraska",1979,116.0999985,0
"371","Nevada",1979,183.3000031,0
"372","New Hampshire",1979,254.6000061,0
"373","New Mexico",1979,101,0
"374","North Carolina",1979,197.3000031,0
"375","North Dakota",1979,121.3000031,0
"376","Ohio",1979,130.8999939,0
"377","Oklahoma",1979,141.6000061,0
"378","Pennsylvania",1979,122.5999985,0
"379","Rhode Island",1979,145.8000031,0
"380","South Carolina",1979,135.6999969,0
"381","South Dakota",1979,117.4000015,0
"382","Tennessee",1979,127.1999969,0
"383","Texas",1979,126.4000015,0
"384","Utah",1979,79.09999847,0
"385","Vermont",1979,160.8999939,0
"386","Virginia",1979,151.8000031,0
"387","West Virginia",1979,122.0999985,0
"388","Wisconsin",1979,117.0999985,0
"389","Wyoming",1979,168.6000061,0
"390","California",1979,121.9000015,0
"391","Alabama",1980,123.1999969,0
"392","Arkansas",1980,131.8000031,0
"393","Colorado",1980,131,0
"394","Connecticut",1980,118,0
"395","Delaware",1980,150.5,0
"396","Georgia",1980,134,0
"397","Idaho",1980,115.1999969,0
"398","Illinois",1980,135.1999969,0
"399","Indiana",1980,146.8999939,0
"400","Iowa",1980,124.5999985,0
"401","Kansas",1980,127.0999985,0
"402","Kentucky",1980,215.3000031,0
"403","Louisiana",1980,143.8000031,0
"404","Maine",1980,141.1999969,0
"405","Minnesota",1980,117.6999969,0
"406","Mississippi",1980,127,0
"407","Missouri",1980,142.1000061,0
"408","Montana",1980,122,0
"409","Nebraska",1980,116.3000031,0
"410","Nevada",1980,177.6999969,0
"411","New Hampshire",1980,247.8000031,0
"412","New Mexico",1980,102.6999969,0
"413","North Carolina",1980,187.8000031,0
"414","North Dakota",1980,123.6999969,0
"415","Ohio",1980,133.5,0
"416","Oklahoma",1980,141.6000061,0
"417","Pennsylvania",1980,124,0
"418","Rhode Island",1980,149.3000031,0
"419","South Carolina",1980,138.3000031,0
"420","South Dakota",1980,114.6999969,0
"421","Tennessee",1980,130.3999939,0
"422","Texas",1980,129.6999969,0
"423","Utah",1980,74.80000305,0
"424","Vermont",1980,161.6000061,0
"425","Virginia",1980,148.8999939,0
"426","West Virginia",1980,122.3000031,0
"427","Wisconsin",1980,117.5999985,0
"428","Wyoming",1980,158.1000061,0
"429","California",1980,120.1999969,0
"430","Alabama",1981,119.5999985,0
"431","Arkansas",1981,128.6999969,0
"432","Colorado",1981,133.8000031,0
"433","Connecticut",1981,116.4000015,0
"434","Delaware",1981,152.6000061,0
"435","Georgia",1981,131.6999969,0
"436","Idaho",1981,114.0999985,0
"437","Illinois",1981,133,0
"438","Indiana",1981,148.5,0
"439","Iowa",1981,132.8999939,0
"440","Kansas",1981,132,0
"441","Kentucky",1981,209.6999969,0
"442","Louisiana",1981,144,0
"443","Maine",1981,138.8999939,0
"444","Minnesota",1981,120.8000031,0
"445","Mississippi",1981,125.3000031,0
"446","Missouri",1981,140.5,0
"447","Montana",1981,121.0999985,0
"448","Nebraska",1981,117,0
"449","Nevada",1981,171.8999939,0
"450","New Hampshire",1981,245.3999939,0
"451","New Mexico",1981,103,0
"452","North Carolina",1981,179.3000031,0
"453","North Dakota",1981,125.6999969,0
"454","Ohio",1981,132.8000031,0
"455","Oklahoma",1981,143.6999969,0
"456","Pennsylvania",1981,125.1999969,0
"457","Rhode Island",1981,151.1999969,0
"458","South Carolina",1981,136.1000061,0
"459","South Dakota",1981,115.6999969,0
"460","Tennessee",1981,129.1000061,0
"461","Texas",1981,129,0
"462","Utah",1981,77.59999847,0
"463","Vermont",1981,163.8000031,0
"464","Virginia",1981,149.8999939,0
"465","West Virginia",1981,120.5,0
"466","Wisconsin",1981,119.9000015,0
"467","Wyoming",1981,163.1000061,0
"468","California",1981,118.5999985,0
"469","Alabama",1982,119.0999985,0
"470","Arkansas",1982,127.4000015,0
"471","Colorado",1982,130.5,0
"472","Connecticut",1982,114.6999969,0
"473","Delaware",1982,154.1000061,0
"474","Georgia",1982,131.1999969,0
"475","Idaho",1982,111.5,0
"476","Illinois",1982,130.6999969,0
"477","Indiana",1982,147.6999969,0
"478","Iowa",1982,116.1999969,0
"479","Kansas",1982,130.8999939,0
"480","Kentucky",1982,210.6000061,0
"481","Louisiana",1982,143.8999939,0
"482","Maine",1982,139.5,0
"483","Minnesota",1982,119.4000015,0
"484","Mississippi",1982,125.8000031,0
"485","Missouri",1982,139.6999969,0
"486","Montana",1982,122.4000015,0
"487","Nebraska",1982,117.0999985,0
"488","Nevada",1982,165.1000061,0
"489","New Hampshire",1982,239.8000031,0
"490","New Mexico",1982,97.5,0
"491","North Carolina",1982,179,0
"492","North Dakota",1982,126.8000031,0
"493","Ohio",1982,134,0
"494","Oklahoma",1982,147,0
"495","Pennsylvania",1982,123.3000031,0
"496","Rhode Island",1982,146.3000031,0
"497","South Carolina",1982,136,0
"498","South Dakota",1982,113,0
"499","Tennessee",1982,131.3999939,0
"500","Texas",1982,131.1999969,0
"501","Utah",1982,73.59999847,0
"502","Vermont",1982,162.3000031,0
"503","Virginia",1982,147.3999939,0
"504","West Virginia",1982,119.8000031,0
"505","Wisconsin",1982,115.5999985,0
"506","Wyoming",1982,157.6999969,0
"507","California",1982,115.4000015,0
"508","Alabama",1983,116.3000031,0
"509","Arkansas",1983,128,0
"510","Colorado",1983,125.3000031,0
"511","Connecticut",1983,114.0999985,0
"512","Delaware",1983,149.6000061,0
"513","Georgia",1983,128.6000061,0
"514","Idaho",1983,111.3000031,0
"515","Illinois",1983,127.9000015,0
"516","Indiana",1983,143,0
"517","Iowa",1983,115.5999985,0
"518","Kansas",1983,127.5999985,0
"519","Kentucky",1983,201.1000061,0
"520","Louisiana",1983,133.6999969,0
"521","Maine",1983,135.3999939,0
"522","Minnesota",1983,113.1999969,0
"523","Mississippi",1983,122.3000031,0
"524","Missouri",1983,134.1000061,0
"525","Montana",1983,113.6999969,0
"526","Nebraska",1983,110.8000031,0
"527","Nevada",1983,159.1999969,0
"528","New Hampshire",1983,232.8999939,0
"529","New Mexico",1983,96.30000305,0
"530","North Carolina",1983,169.8000031,0
"531","North Dakota",1983,119.5999985,0
"532","Ohio",1983,130,0
"533","Oklahoma",1983,140,0
"534","Pennsylvania",1983,125.3000031,0
"535","Rhode Island",1983,135.8000031,0
"536","South Carolina",1983,131.1000061,0
"537","South Dakota",1983,109.8000031,0
"538","Tennessee",1983,129,0
"539","Texas",1983,126.4000015,0
"540","Utah",1983,69,0
"541","Vermont",1983,153.8000031,0
"542","Virginia",1983,144.6999969,0
"543","West Virginia",1983,115.6999969,0
"544","Wisconsin",1983,106.3000031,0
"545","Wyoming",1983,141.1999969,0
"546","California",1983,110.8000031,0
"547","Alabama",1984,113,0
"548","Arkansas",1984,123.0999985,0
"549","Colorado",1984,119.6999969,0
"550","Connecticut",1984,112.5,0
"551","Delaware",1984,144,0
"552","Georgia",1984,126.3000031,0
"553","Idaho",1984,103.5999985,0
"554","Illinois",1984,124,0
"555","Indiana",1984,137.8000031,0
"556","Iowa",1984,111.1999969,0
"557","Kansas",1984,121.6999969,0
"558","Kentucky",1984,183.1999969,0
"559","Louisiana",1984,128.8999939,0
"560","Maine",1984,135.5,0
"561","Minnesota",1984,110.8000031,0
"562","Mississippi",1984,116.4000015,0
"563","Missouri",1984,130,0
"564","Montana",1984,110.0999985,0
"565","Nebraska",1984,107.6999969,0
"566","Nevada",1984,136.6000061,0
"567","New Hampshire",1984,215.1000061,0
"568","New Mexico",1984,88.90000153,0
"569","North Carolina",1984,160.6000061,0
"570","North Dakota",1984,109.4000015,0
"571","Ohio",1984,127.0999985,0
"572","Oklahoma",1984,128.1000061,0
"573","Pennsylvania",1984,115.3000031,0
"574","Rhode Island",1984,136.8999939,0
"575","South Carolina",1984,127,0
"576","South Dakota",1984,105.6999969,0
"577","Tennessee",1984,125.0999985,0
"578","Texas",1984,117.1999969,0
"579","Utah",1984,66.30000305,0
"580","Vermont",1984,144.3000031,0
"581","Virginia",1984,136.8000031,0
"582","West Virginia",1984,111.9000015,0
"583","Wisconsin",1984,105.5999985,0
"584","Wyoming",1984,128.8999939,0
"585","California",1984,104.8000031,0
"586","Alabama",1985,114.5,0
"587","Arkansas",1985,125.8000031,0
"588","Colorado",1985,112.4000015,0
"589","Connecticut",1985,111,0
"590","Delaware",1985,144.5,0
"591","Georgia",1985,128.8000031,0
"592","Idaho",1985,100.6999969,0
"593","Illinois",1985,121.5999985,0
"594","Indiana",1985,135.3000031,0
"595","Iowa",1985,109.4000015,0
"596","Kansas",1985,115.6999969,0
"597","Kentucky",1985,182.3999939,0
"598","Louisiana",1985,125,0
"599","Maine",1985,127.9000015,0
"600","Minnesota",1985,113,0
"601","Mississippi",1985,115.3000031,0
"602","Missouri",1985,129.1999969,0
"603","Montana",1985,103.5999985,0
"604","Nebraska",1985,105.0999985,0
"605","Nevada",1985,146.6999969,0
"606","New Hampshire",1985,201.1000061,0
"607","New Mexico",1985,88,0
"608","North Carolina",1985,156.3000031,0
"609","North Dakota",1985,103.1999969,0
"610","Ohio",1985,126.6999969,0
"611","Oklahoma",1985,124.1999969,0
"612","Pennsylvania",1985,115.8000031,0
"613","Rhode Island",1985,133.3999939,0
"614","South Carolina",1985,125.4000015,0
"615","South Dakota",1985,104.4000015,0
"616","Tennessee",1985,128.6999969,0
"617","Texas",1985,115.9000015,0
"618","Utah",1985,66.5,0
"619","Vermont",1985,144.5,0
"620","Virginia",1985,134.6000061,0
"621","West Virginia",1985,109.0999985,0
"622","Wisconsin",1985,107,0
"623","Wyoming",1985,125.6999969,0
"624","California",1985,102.8000031,0
"625","Alabama",1986,116.3000031,0
"626","Arkansas",1986,126,0
"627","Colorado",1986,109.9000015,0
"628","Connecticut",1986,108.5,0
"629","Delaware",1986,142.3999939,0
"630","Georgia",1986,129,0
"631","Idaho",1986,96.69999695,0
"632","Illinois",1986,118.1999969,0
"633","Indiana",1986,137.6000061,0
"634","Iowa",1986,104.0999985,0
"635","Kansas",1986,109.4000015,0
"636","Kentucky",1986,179.8000031,0
"637","Louisiana",1986,121.1999969,0
"638","Maine",1986,119,0
"639","Minnesota",1986,104.3000031,0
"640","Mississippi",1986,113.1999969,0
"641","Missouri",1986,128.8000031,0
"642","Montana",1986,97.80000305,0
"643","Nebraska",1986,103.0999985,0
"644","Nevada",1986,142.6000061,0
"645","New Hampshire",1986,195.8999939,0
"646","New Mexico",1986,88.19999695,0
"647","North Carolina",1986,154.3999939,0
"648","North Dakota",1986,99.80000305,0
"649","Ohio",1986,126.3000031,0
"650","Oklahoma",1986,119.9000015,0
"651","Pennsylvania",1986,113.9000015,0
"652","Rhode Island",1986,136.3000031,0
"653","South Carolina",1986,126.5999985,0
"654","South Dakota",1986,97,0
"655","Tennessee",1986,129,0
"656","Texas",1986,113.6999969,0
"657","Utah",1986,64.40000153,0
"658","Vermont",1986,131.1999969,0
"659","Virginia",1986,135.8000031,0
"660","West Virginia",1986,112.0999985,0
"661","Wisconsin",1986,105.4000015,0
"662","Wyoming",1986,124.8000031,0
"663","California",1986,99.69999695,0
"664","Alabama",1987,114,0
"665","Arkansas",1987,122.3000031,0
"666","Colorado",1987,102.4000015,0
"667","Connecticut",1987,109,0
"668","Delaware",1987,141,0
"669","Georgia",1987,129.3000031,0
"670","Idaho",1987,95,0
"671","Illinois",1987,109.5,0
"672","Indiana",1987,134,0
"673","Iowa",1987,101.0999985,0
"674","Kansas",1987,105.1999969,0
"675","Kentucky",1987,171.1999969,0
"676","Louisiana",1987,116.5,0
"677","Maine",1987,125,0
"678","Minnesota",1987,108.8000031,0
"679","Mississippi",1987,110,0
"680","Missouri",1987,128.6999969,0
"681","Montana",1987,91.69999695,0
"682","Nebraska",1987,101.3000031,0
"683","Nevada",1987,147.6999969,0
"684","New Hampshire",1987,195.1000061,0
"685","New Mexico",1987,82.30000305,0
"686","North Carolina",1987,150.5,0
"687","North Dakota",1987,92.30000305,0
"688","Ohio",1987,124.5999985,0
"689","Oklahoma",1987,113.0999985,0
"690","Pennsylvania",1987,110.5999985,0
"691","Rhode Island",1987,124.4000015,0
"692","South Carolina",1987,126.5999985,0
"693","South Dakota",1987,95.80000305,0
"694","Tennessee",1987,130.6000061,0
"695","Texas",1987,105.8000031,0
"696","Utah",1987,67.69999695,0
"697","Vermont",1987,128.3000031,0
"698","Virginia",1987,133,0
"699","West Virginia",1987,107.5,0
"700","Wisconsin",1987,106,0
"701","Wyoming",1987,110.4000015,0
"702","California",1987,97.5,0
"703","Alabama",1988,112.0999985,0
"704","Arkansas",1988,121.5,0
"705","Colorado",1988,94.59999847,0
"706","Connecticut",1988,104.8000031,0
"707","Delaware",1988,137.1000061,0
"708","Georgia",1988,124.0999985,0
"709","Idaho",1988,84.5,0
"710","Illinois",1988,107.5999985,0
"711","Indiana",1988,134,0
"712","Iowa",1988,100.1999969,0
"713","Kansas",1988,103.1999969,0
"714","Kentucky",1988,173.1999969,0
"715","Louisiana",1988,110.9000015,0
"716","Maine",1988,125,0
"717","Minnesota",1988,94.09999847,0
"718","Mississippi",1988,109,0
"719","Missouri",1988,127.4000015,0
"720","Montana",1988,87.09999847,0
"721","Nebraska",1988,92.90000153,0
"722","Nevada",1988,141.8999939,0
"723","New Hampshire",1988,180.3999939,0
"724","New Mexico",1988,77.69999695,0
"725","North Carolina",1988,146,0
"726","North Dakota",1988,87.09999847,0
"727","Ohio",1988,122.4000015,0
"728","Oklahoma",1988,103.5999985,0
"729","Pennsylvania",1988,107.5999985,0
"730","Rhode Island",1988,138,0
"731","South Carolina",1988,124.4000015,0
"732","South Dakota",1988,91.90000153,0
"733","Tennessee",1988,125.3000031,0
"734","Texas",1988,96.5,0
"735","Utah",1988,55,0
"736","Vermont",1988,128.6999969,0
"737","Virginia",1988,129.5,0
"738","West Virginia",1988,109.0999985,0
"739","Wisconsin",1988,102.5999985,0
"740","Wyoming",1988,114.3000031,0
"741","California",1988,90.09999847,0
"742","Alabama",1989,105.5999985,0
